lang,proc,op,median
julia,1,write,0.001024093
julia,2,write,0.001027972
julia,4,write,0.0012207275
julia,8,write,0.0012505205
julia,16,write,0.001779078
julia,1,reads,0.0012165795
julia,2,reads,0.0012173
julia,4,reads,0.0015581695
julia,8,reads,0.001560314
julia,16,reads,0.0019799645
julia,1,flops,0.0014857575
julia,2,flops,0.001490144
julia,4,flops,0.001904818
julia,8,flops,0.0019053685
julia,16,flops,0.001925141
julia,1,comms,0.3972368475
julia,2,comms,0.403706183
julia,4,comms,0.889950724
julia,8,comms,1.8967321895
julia,16,comms,1.5901833482701867e9
CPP,1,write,0.000401048
CPP,2,write,0.0004322205
CPP,4,write,0.0005369525
CPP,8,write,0.0005580375
CPP,16,write,0.0007001745
CPP,1,reads,0.000166769
CPP,2,reads,0.000185317
CPP,4,reads,0.000185423
CPP,8,reads,0.000238278
CPP,16,reads,0.000238366
CPP,1,flops,0.00133344
CPP,2,flops,0.001481559
CPP,4,flops,0.001630847
CPP,8,flops,0.001904884
CPP,16,flops,0.0019056115
CPP,1,comms,0.0134165705
CPP,2,comms,0.0108399675
CPP,4,comms,0.016740924
CPP,8,comms,0.017387662
CPP,16,comms,0.0217347795
