lang,proc,op,median
julia,1,write,0.0011996
julia,2,write,0.00101832
julia,4,write,0.0010570355
julia,8,write,0.001223298
julia,16,write,0.0012734785
julia,1,reads,0.0015530035
julia,2,reads,0.0012162825
julia,4,reads,0.0012313735
julia,8,reads,0.0015545315
julia,16,reads,0.001571365
julia,1,flops,0.001904812
julia,2,flops,0.001481516
julia,4,flops,0.0017198085
julia,8,flops,0.001904828
julia,16,flops,0.001914059
julia,1,comms,0.2940793505
julia,2,comms,0.6523042495
julia,4,comms,1.3454637325
julia,8,comms,1.590182237715759e9
julia,16,comms,1.5901822474188974e9
CPP,1,write,0.0004040665
CPP,2,write,0.0004415875
CPP,4,write,0.000503942
CPP,8,write,0.000556572
CPP,16,write,0.0006756615
CPP,1,reads,0.000166814
CPP,2,reads,0.000185337
CPP,4,reads,0.000185349
CPP,8,reads,0.0002382815
CPP,16,reads,0.000238329
CPP,1,flops,0.0013454755
CPP,2,flops,0.0014867255
CPP,4,flops,0.001487022
CPP,8,flops,0.0019048765
CPP,16,flops,0.001907029
CPP,1,comms,0.002170396
CPP,2,comms,0.00595477
CPP,4,comms,0.0096085
CPP,8,comms,0.0116483805
CPP,16,comms,0.0112316005
